ticks,infected
0,100
1,128
2,147
3,180
4,199
5,223
6,265
7,298
8,328
9,372
10,376
11,422
12,451
13,462
14,478
15,497
16,514
17,542
18,557
19,577
20,584
21,594
22,620
23,628
24,648
25,682
26,706
27,707
28,720
29,742
30,762
31,777
32,776
33,793
34,813
35,830
36,816
37,808
38,798
39,772
40,786
41,785
42,751
43,726
44,708
45,674
46,654
47,651
48,605
49,576
50,539
51,547
52,539
53,528
54,515
55,508
56,495
57,481
58,487
59,484
60,494
61,484
62,457
63,439
64,425
65,423
66,427
67,399
68,380
69,364
70,361
71,355
72,337
73,338
74,333
75,327
76,323
77,318
78,315
79,317
80,306
81,298
82,281
83,273
84,274
85,273
86,260
87,237
88,231
89,220
90,220
91,215
92,214
93,206
94,198
95,207
96,200
97,198
98,194
99,176
100,181
101,175
102,181
103,165
104,163
105,163
106,162
107,168
108,173
109,165
110,149
111,146
112,133
113,137
114,132
115,140
116,137
117,119
118,118
119,118
120,120
121,119
122,112
123,112
124,109
125,113
126,126
127,125
128,119
129,117
130,118
131,107
132,105
133,117
134,112
135,111
136,98
137,93
138,87
139,82
140,86
141,86
142,87
143,85
144,80
145,74
146,80
147,82
148,81
149,71
150,71
151,68
152,68
153,62
154,61
155,57
156,55
157,60
158,55
159,58
160,66
161,65
162,60
163,53
164,49
165,48
166,41
167,38
168,32
169,35
170,33
171,34
172,33
173,31
174,25
175,25
176,25
177,23
178,23
179,22
180,19
181,19
182,18
183,18
184,13
185,8
186,6
187,4
188,3
189,4
190,4
191,4
192,3
193,4
194,4
195,3
196,3
197,3
198,2
199,2
200,1
201,1
202,1
203,1
