ticks,infected
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,2
24,2
25,2
26,2
27,2
28,3
29,4
30,5
31,5
32,6
33,4
34,6
35,7
36,7
37,7
38,7
39,9
40,11
41,13
42,13
43,16
44,20
45,22
46,21
47,24
48,28
49,28
50,31
51,39
52,38
53,39
54,38
55,37
56,43
57,45
58,49
59,50
60,57
61,56
62,54
63,50
64,46
65,42
66,37
67,35
68,36
69,32
70,35
71,33
72,34
73,37
74,35
75,34
76,36
77,33
78,31
79,33
80,37
81,40
82,43
83,45
84,44
85,41
86,46
87,49
88,47
89,50
90,49
91,51
92,50
93,49
94,47
95,48
96,47
97,50
98,49
99,43
100,37
101,35
102,29
103,32
104,37
105,35
106,34
107,30
108,33
109,30
110,27
111,28
112,30
113,28
114,28
115,31
116,30
117,32
118,32
119,31
120,30
121,29
122,36
123,37
124,38
125,40
126,44
127,42
128,44
129,40
130,46
131,42
132,43
133,41
134,40
135,38
136,38
137,37
138,32
139,37
140,44
141,42
142,41
143,43
144,37
145,34
146,31
147,29
148,31
149,31
150,34
151,36
152,39
153,41
154,42
155,44
156,46
157,47
158,44
159,40
160,40
161,40
162,41
163,39
164,42
165,43
166,36
167,37
168,35
169,38
170,38
171,36
172,35
173,34
174,32
175,30
176,27
177,29
178,28
179,24
180,27
181,29
182,32
183,29
184,31
185,30
186,29
187,30
188,33
189,32
190,30
191,29
192,29
193,31
194,33
195,33
196,34
197,30
198,27
199,25
200,24
201,25
202,21
203,24
204,23
205,22
206,21
207,21
208,22
209,23
210,22
211,23
212,28
213,32
214,32
215,32
216,35
217,37
218,36
219,39
220,42
221,39
222,36
223,37
224,41
225,43
226,40
227,36
228,36
229,31
230,28
231,32
232,40
233,42
234,39
235,39
236,41
237,43
238,45
239,42
240,41
241,45
242,50
243,48
244,49
245,55
246,53
247,50
248,51
249,57
250,56
251,55
252,53
253,47
254,42
255,41
256,43
257,39
258,38
259,41
260,43
261,46
262,42
263,46
264,48
265,48
266,47
267,47
268,41
269,42
270,40
271,44
272,46
273,43
274,45
275,52
276,57
277,63
278,66
279,67
280,69
281,73
282,78
283,78
284,79
285,74
286,77
287,82
288,88
289,86
290,79
291,84
292,84
293,89
294,93
295,91
296,83
297,77
298,77
299,90
300,91
301,89
302,85
303,86
304,89
305,93
306,96
307,95
308,87
309,87
310,85
311,85
312,86
313,86
314,86
315,84
316,85
317,89
318,91
319,86
320,89
321,88
322,88
323,91
324,93
325,96
326,97
327,98
328,96
329,92
330,95
331,91
332,100
333,106
334,101
335,115
336,117
337,114
338,113
339,121
340,119
341,113
342,112
343,122
344,116
345,110
346,102
347,113
348,115
349,119
350,119
351,121
352,120
353,118
354,121
355,120
356,114
357,117
358,121
359,118
360,128
361,119
362,109
363,109
364,108
365,115
366,113
367,108
368,112
369,111
370,112
371,115
372,117
373,113
374,120
375,113
376,113
377,118
378,118
379,118
380,120
381,134
382,139
383,132
384,128
385,130
386,129
387,119
388,121
389,118
390,116
391,123
392,130
393,135
394,141
395,148
396,144
397,143
398,151
399,155
400,152
401,157
402,161
403,156
404,158
405,162
406,172
407,164
408,163
409,158
410,163
411,158
412,157
413,166
414,158
415,162
416,156
417,155
418,160
419,164
420,177
421,175
422,172
423,167
424,163
425,159
426,169
427,155
428,156
429,155
430,160
431,163
432,183
433,177
434,180
435,180
436,173
437,164
438,164
439,164
440,156
441,155
442,153
443,164
444,159
445,149
446,143
447,144
448,149
449,140
450,131
451,137
452,151
453,147
454,151
455,146
456,157
457,151
458,153
459,156
460,167
461,171
462,165
463,176
464,175
465,171
466,164
467,150
468,144
469,152
470,142
471,137
472,127
473,134
474,134
475,133
476,140
477,134
478,129
479,129
480,131
481,124
482,132
483,130
484,130
485,130
486,147
487,144
488,137
489,148
490,157
491,153
492,153
493,151
494,156
495,140
496,141
497,135
498,139
499,139
500,130
501,131
502,127
503,132
504,142
505,141
506,144
507,141
508,134
509,124
510,116
511,115
512,115
513,115
514,121
515,118
516,113
517,116
518,107
519,124
520,125
521,122
522,116
523,117
524,119
525,116
526,112
527,120
528,120
529,120
530,114
531,115
532,117
533,117
534,122
535,119
536,113
537,107
538,109
539,111
540,113
541,111
542,107
543,104
544,99
545,106
546,97
547,104
548,97
549,97
550,89
551,83
552,82
553,81
554,75
555,77
556,70
557,61
558,55
559,59
560,58
561,62
562,60
563,53
564,52
565,52
566,47
567,49
568,46
569,48
570,49
571,46
572,44
573,42
574,45
575,49
576,50
577,46
578,41
579,34
580,34
581,34
582,34
583,33
584,36
585,30
586,30
587,31
588,31
589,28
590,27
591,24
592,20
593,22
594,20
595,21
596,22
597,20
598,20
599,17
600,14
601,16
602,19
603,19
604,25
605,24
606,22
607,20
608,21
609,18
610,16
611,20
612,26
613,26
614,22
615,26
616,23
617,26
618,30
619,26
620,23
621,25
622,24
623,25
624,26
625,29
626,31
627,31
628,32
629,32
630,32
631,25
632,24
633,27
634,25
635,25
636,22
637,20
638,19
639,21
640,19
641,19
642,20
643,18
644,15
645,15
646,17
647,14
648,12
649,9
650,7
651,10
652,9
653,5
654,4
655,2
656,2
657,2
658,1
659,1
660,1
661,1
662,1
663,1
