ticks,infected
0,100
1,127
2,169
3,184
4,229
5,276
6,299
7,335
8,375
9,410
10,431
11,470
12,512
13,556
14,595
15,617
16,651
17,694
18,707
19,720
20,756
21,810
22,823
23,847
24,913
25,942
26,987
27,1025
28,1062
29,1059
30,1059
31,1073
32,1061
33,1062
34,1075
35,1078
36,1077
37,1072
38,1073
39,1086
40,1076
41,1060
42,1049
43,1052
44,1021
45,1000
46,981
47,960
48,941
49,926
50,896
51,876
52,874
53,846
54,837
55,811
56,778
57,757
58,742
59,715
60,680
61,667
62,640
63,626
64,607
65,587
66,587
67,567
68,554
69,545
70,523
71,500
72,490
73,484
74,473
75,464
76,454
77,430
78,413
79,393
80,388
81,364
82,370
83,357
84,362
85,340
86,354
87,344
88,331
89,328
90,318
91,304
92,289
93,279
94,280
95,279
96,277
97,273
98,259
99,252
100,241
101,232
102,214
103,198
104,191
105,190
106,192
107,190
108,191
109,190
110,175
111,156
112,160
113,158
114,136
115,130
116,124
117,122
118,126
119,118
120,119
121,128
122,125
123,120
124,122
125,118
126,103
127,100
128,98
129,98
130,88
131,76
132,76
133,69
134,70
135,66
136,59
137,59
138,51
139,42
140,40
141,42
142,38
143,35
144,37
145,41
146,39
147,35
148,30
149,26
150,24
151,27
152,24
153,22
154,19
155,18
156,18
157,15
158,13
159,13
160,14
161,14
162,15
163,13
164,14
165,16
166,15
167,13
168,11
169,11
170,10
171,10
172,9
173,8
174,8
175,9
176,10
177,8
178,8
179,8
180,9
181,6
182,6
183,5
184,5
185,5
186,5
187,5
188,5
189,4
190,4
191,4
192,4
193,5
194,4
195,4
196,4
197,2
198,1
199,1
