ticks,infected
0,2
1,56
2,412
3,1377
4,2669
5,4216
6,5905
7,7511
8,9307
9,11061
10,12837
11,14814
12,16615
13,18606
14,20515
15,22506
16,24448
17,26377
18,28446
19,30149
20,32117
21,33906
22,36208
23,37128
24,36738
25,36480
26,36678
27,37277
28,37636
29,38522
30,39399
31,40443
32,41687
33,42660
34,43470
35,44334
36,44589
37,42848
38,41901
39,41532
40,41295
41,41253
42,41357
43,41344
44,41700
45,41768
46,42304
47,42870
48,43346
49,43904
50,44694
51,45034
52,45425
53,45766
54,46675
55,47091
56,47857
57,48531
58,48782
59,49244
60,49886
61,48647
62,44588
63,42301
64,40599
65,39457
66,38907
67,38161
68,37872
69,37845
70,37725
71,36014
72,31362
73,27784
74,25301
75,23581
76,22492
77,21801
78,19738
79,15283
80,12198
81,10087
82,8496
83,7304
84,6414
85,5710
86,5246
87,4733
88,4393
89,4093
90,3520
91,2344
92,1554
93,998
94,694
95,468
96,314
97,216
98,145
99,101
100,67
101,45
102,30
103,22
104,19
105,11
106,3
107,2
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
