trial,k,i,speed,M,μ (ticks),σ (ticks),μ (days),σ (days)
1,0.2400,0.0002,5,705.38,92.41,42.33,66.48201439,30.45323741
2,0.2400,0.0002,5,1054.34,65.85,25.99,47.37410072,18.69784173
3,0.2400,0.0002,5,728.20,90.86,42.86,65.36690647,30.83453237
4,0.2400,0.0002,5,0.00363,75.00,11.00,53.95683453,7.913669065
5,0.2400,0.0002,5,738.82,86.74,40.50,62.4028777,29.13669065
6,0.2400,0.0002,5,5.91,12.10,9.94,8.705035971,7.151079137
7,0.2400,0.0002,5,1094.94,55.87,25.69,40.1942446,18.48201439
8,0.2400,0.0002,5,0.00363,75.00,11.00,53.95683453,7.913669065
9,0.2400,0.0002,5,796.02,80.47,36.21,57.89208633,26.05035971
10,0.2400,0.0002,5,733.34,93.24,41.93,67.07913669,30.16546763
,,,,585.695726,72.754,28.745,52.34100719,20.67985612
