ticks,infected
0,100
1,127
2,148
3,167
4,205
5,214
6,234
7,259
8,293
9,297
10,323
11,355
12,391
13,395
14,425
15,477
16,497
17,520
18,533
19,577
20,606
21,635
22,658
23,652
24,687
25,672
26,702
27,725
28,737
29,741
30,740
31,755
32,779
33,809
34,827
35,830
36,827
37,832
38,841
39,829
40,841
41,841
42,834
43,843
44,827
45,810
46,782
47,761
48,768
49,762
50,746
51,719
52,707
53,706
54,676
55,641
56,622
57,612
58,615
59,599
60,574
61,546
62,545
63,524
64,512
65,497
66,470
67,464
68,447
69,426
70,417
71,400
72,407
73,390
74,391
75,379
76,367
77,344
78,323
79,314
80,294
81,282
82,271
83,251
84,239
85,235
86,225
87,228
88,198
89,196
90,197
91,191
92,189
93,185
94,175
95,171
96,162
97,153
98,151
99,126
100,117
101,115
102,110
103,104
104,103
105,97
106,95
107,80
108,72
109,72
110,74
111,70
112,63
113,65
114,57
115,56
116,55
117,51
118,49
119,47
120,47
121,50
122,43
123,39
124,39
125,34
126,37
127,35
128,34
129,34
130,36
131,38
132,38
133,36
134,31
135,29
136,26
137,22
138,18
139,21
140,21
141,19
142,21
143,18
144,17
145,14
146,11
147,14
148,17
149,16
150,15
151,15
152,16
153,15
154,12
155,12
156,12
157,9
158,11
159,10
160,9
161,3
162,6
163,7
164,6
165,4
166,2
167,2
168,2
169,3
170,2
171,2
172,1
173,2
174,2
175,2
176,2
177,1
178,1
179,1
180,1
