ticks,infected
0,10
1,10
2,14
3,22
4,23
5,26
6,23
7,31
8,37
9,48
10,53
11,60
12,70
13,89
14,95
15,97
16,105
17,106
18,119
19,125
20,133
21,139
22,136
23,135
24,146
25,154
26,159
27,162
28,159
29,160
30,178
31,197
32,200
33,196
34,206
35,212
36,237
37,238
38,243
39,247
40,254
41,268
42,291
43,306
44,329
45,341
46,369
47,370
48,374
49,383
50,391
51,432
52,430
53,454
54,465
55,467
56,481
57,478
58,483
59,497
60,517
61,535
62,552
63,560
64,579
65,612
66,630
67,647
68,659
69,666
70,660
71,659
72,655
73,677
74,698
75,713
76,720
77,709
78,701
79,693
80,694
81,693
82,715
83,719
84,714
85,711
86,726
87,711
88,714
89,700
90,702
91,696
92,685
93,684
94,665
95,651
96,668
97,666
98,670
99,667
100,645
101,630
102,620
103,613
104,618
105,615
106,615
107,617
108,634
109,638
110,661
111,681
112,668
113,664
114,663
115,642
116,644
117,649
118,645
119,636
120,648
121,645
122,628
123,632
124,627
125,644
126,619
127,609
128,622
129,608
130,601
131,583
132,569
133,571
134,557
135,558
136,546
137,538
138,527
139,540
140,528
141,517
142,508
143,510
144,496
145,486
146,472
147,465
148,453
149,439
150,430
151,431
152,399
153,387
154,381
155,379
156,363
157,352
158,345
159,339
160,327
161,322
162,320
163,312
164,294
165,287
166,294
167,294
168,279
169,273
170,265
171,269
172,250
173,250
174,237
175,228
176,230
177,227
178,234
179,224
180,215
181,219
182,223
183,218
184,217
185,214
186,215
187,205
188,195
189,174
190,171
191,164
192,162
193,168
194,175
195,179
196,173
197,176
198,174
199,179
200,181
201,183
202,182
203,184
204,169
205,172
206,162
207,159
208,146
209,144
210,148
211,153
212,155
213,148
214,142
215,132
216,133
217,133
218,127
219,124
220,118
221,119
222,108
223,107
224,103
225,108
226,108
227,105
228,96
229,88
230,86
231,82
232,85
233,78
234,80
235,76
236,68
237,66
238,66
239,68
240,67
241,68
242,71
243,69
244,66
245,64
246,64
247,68
248,68
249,72
250,65
251,60
252,60
253,57
254,58
255,63
256,71
257,66
258,67
259,66
260,69
261,73
262,79
263,84
264,77
265,77
266,70
267,63
268,66
269,67
270,65
271,62
272,61
273,59
274,53
275,54
276,51
277,50
278,55
279,49
280,52
281,51
282,54
283,48
284,52
285,48
286,42
287,43
288,42
289,40
290,40
291,41
292,49
293,48
294,46
295,40
296,36
297,34
298,33
299,40
300,36
301,40
302,41
303,33
304,36
305,35
306,36
307,31
308,30
309,32
310,30
311,28
312,28
313,27
314,26
315,22
316,22
317,25
318,23
319,20
320,19
321,19
322,18
323,16
324,16
325,15
326,13
327,9
328,9
329,8
330,8
331,8
332,10
333,9
334,8
335,8
336,8
337,7
338,6
339,5
340,5
341,5
342,4
343,3
344,3
345,3
346,2
347,2
348,2
349,2
350,2
351,1
352,1
353,1
354,3
355,3
356,2
357,2
358,2
