ticks,infected
0,1
1,4
2,17
3,42
4,80
5,137
6,193
7,274
8,326
9,363
10,438
11,498
12,548
13,613
14,647
15,717
16,773
17,887
18,931
19,1031
20,1152
21,1227
22,1334
23,1384
24,1461
25,1561
26,1679
27,1785
28,1813
29,1807
30,1864
31,1992
32,2100
33,2184
34,2283
35,2301
36,2374
37,2432
38,2502
39,2655
40,2798
41,2877
42,2933
43,2860
44,2851
45,2937
46,3013
47,3078
48,3220
49,3339
50,3469
51,3546
52,3577
53,3751
54,3869
55,3937
56,4043
57,4229
58,4316
59,4310
60,4346
61,4285
62,4355
63,4555
64,4580
65,4594
66,4644
67,4733
68,4715
69,4656
70,4554
71,4507
72,4496
73,4477
74,4378
75,4256
76,4161
77,4064
78,3908
79,3884
80,3904
81,3787
82,3795
83,3660
84,3571
85,3708
86,3749
87,3749
88,3772
89,3793
90,3688
91,3565
92,3597
93,3572
94,3468
95,3368
96,3357
97,3156
98,2869
99,2467
100,2277
101,1921
102,1773
103,1571
104,1413
105,1259
106,1194
107,1099
108,1058
109,922
110,820
111,750
112,676
113,625
114,571
115,528
116,478
117,437
118,387
119,336
120,281
121,254
122,211
123,175
124,170
125,130
126,97
127,63
128,44
129,31
130,23
131,16
132,12
133,6
134,5
135,2
136,1
137,1
138,1
139,0
140,0
141,0
142,0
