ticks,infected
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,3
11,5
12,8
13,7
14,6
15,13
16,14
17,16
18,20
19,24
20,26
21,27
22,31
23,39
24,42
25,43
26,42
27,41
28,44
29,48
30,56
31,56
32,63
33,59
34,59
35,62
36,69
37,72
38,86
39,85
40,88
41,94
42,93
43,102
44,106
45,106
46,106
47,110
48,114
49,109
50,115
51,115
52,117
53,118
54,130
55,126
56,130
57,122
58,116
59,111
60,107
61,101
62,107
63,99
64,95
65,94
66,92
67,85
68,92
69,88
70,86
71,87
72,90
73,88
74,87
75,87
76,93
77,94
78,97
79,94
80,99
81,99
82,102
83,106
84,109
85,112
86,113
87,105
88,99
89,95
90,94
91,93
92,98
93,97
94,92
95,99
96,100
97,96
98,102
99,93
100,98
101,105
102,108
103,100
104,96
105,103
106,101
107,107
108,106
109,114
110,112
111,105
112,103
113,102
114,105
115,107
116,107
117,103
118,103
119,99
120,92
121,89
122,91
123,96
124,94
125,101
126,106
127,112
128,112
129,125
130,128
131,138
132,141
133,143
134,131
135,129
136,129
137,125
138,125
139,113
140,108
141,106
142,104
143,104
144,103
145,92
146,87
147,86
148,87
149,88
150,88
151,86
152,84
153,83
154,80
155,80
156,76
157,80
158,81
159,83
160,87
161,92
162,98
163,100
164,98
165,102
166,110
167,118
168,121
169,124
170,133
171,136
172,140
173,139
174,139
175,147
176,154
177,161
178,156
179,155
180,158
181,165
182,173
183,172
184,176
185,184
186,182
187,193
188,204
189,208
190,213
191,221
192,224
193,230
194,227
195,230
196,229
197,232
198,224
199,223
200,219
201,207
202,203
203,201
204,200
205,206
206,205
207,198
208,189
209,192
210,190
211,189
212,178
213,182
214,201
215,203
216,212
217,218
218,221
219,210
220,207
221,207
222,201
223,199
224,202
225,203
226,205
227,223
228,237
229,233
230,227
231,228
232,233
233,238
234,242
235,251
236,242
237,236
238,239
239,242
240,233
241,219
242,216
243,215
244,213
245,211
246,209
247,214
248,218
249,215
250,225
251,234
252,238
253,231
254,223
255,217
256,212
257,207
258,208
259,214
260,207
261,209
262,201
263,207
264,193
265,184
266,184
267,182
268,178
269,179
270,177
271,173
272,168
273,163
274,160
275,158
276,147
277,150
278,149
279,144
280,146
281,149
282,145
283,144
284,144
285,135
286,138
287,140
288,135
289,129
290,119
291,112
292,116
293,113
294,115
295,120
296,125
297,130
298,136
299,141
300,138
301,130
302,125
303,125
304,118
305,119
306,118
307,120
308,116
309,114
310,118
311,125
312,130
313,126
314,129
315,135
316,137
317,143
318,142
319,134
320,138
321,144
322,134
323,130
324,130
325,128
326,122
327,117
328,113
329,114
330,122
331,125
332,129
333,135
334,146
335,147
336,142
337,139
338,132
339,131
340,134
341,138
342,138
343,135
344,139
345,129
346,128
347,129
348,125
349,122
350,113
351,112
352,111
353,124
354,123
355,121
356,124
357,122
358,128
359,126
360,129
361,126
362,128
363,123
364,126
365,127
366,135
367,131
368,136
369,132
370,138
371,138
372,132
373,136
374,143
375,144
376,134
377,142
378,137
379,142
380,151
381,160
382,163
383,154
384,155
385,162
386,162
387,159
388,157
389,149
390,154
391,154
392,168
393,182
394,177
395,172
396,170
397,181
398,173
399,181
400,172
401,173
402,165
403,169
404,167
405,180
406,180
407,180
408,163
409,169
410,164
411,168
412,166
413,174
414,175
415,181
416,186
417,177
418,182
419,185
420,188
421,193
422,190
423,186
424,181
425,175
426,178
427,182
428,177
429,165
430,167
431,171
432,179
433,177
434,175
435,185
436,195
437,189
438,194
439,198
440,189
441,185
442,174
443,170
444,162
445,162
446,156
447,145
448,141
449,152
450,156
451,161
452,152
453,160
454,163
455,159
456,154
457,145
458,144
459,137
460,127
461,125
462,121
463,110
464,106
465,102
466,99
467,94
468,93
469,89
470,89
471,81
472,86
473,86
474,78
475,76
476,79
477,73
478,72
479,74
480,69
481,64
482,69
483,69
484,65
485,69
486,74
487,82
488,94
489,99
490,90
491,95
492,86
493,84
494,85
495,77
496,80
497,76
498,76
499,79
500,79
501,80
502,79
503,81
504,87
505,81
506,86
507,85
508,90
509,91
510,94
511,97
512,95
513,95
514,98
515,98
516,100
517,99
518,100
519,96
520,86
521,86
522,92
523,95
524,98
525,103
526,112
527,110
528,108
529,106
530,107
531,115
532,115
533,110
534,109
535,103
536,102
537,106
538,109
539,111
540,110
541,117
542,115
543,118
544,121
545,130
546,128
547,126
548,138
549,137
550,136
551,139
552,136
553,146
554,140
555,133
556,125
557,119
558,116
559,112
560,107
561,102
562,103
563,99
564,106
565,109
566,114
567,118
568,118
569,106
570,106
571,113
572,115
573,113
574,106
575,115
576,119
577,127
578,127
579,120
580,108
581,106
582,104
583,102
584,97
585,99
586,91
587,94
588,95
589,102
590,111
591,118
592,121
593,112
594,111
595,103
596,107
597,109
598,111
599,110
600,118
601,122
602,124
603,125
604,119
605,124
606,118
607,119
608,123
609,120
610,119
611,126
612,132
613,133
614,129
615,121
616,121
617,125
618,123
619,126
620,125
621,125
622,121
623,119
624,109
625,114
626,116
627,126
628,127
629,126
630,128
631,133
632,127
633,128
634,121
635,123
636,128
637,129
638,131
639,130
640,129
641,117
642,125
643,115
644,114
645,114
646,112
647,118
648,114
649,111
650,107
651,108
652,111
653,112
654,111
655,105
656,101
657,100
658,92
659,92
660,84
661,80
662,79
663,79
664,82
665,78
666,73
667,82
668,80
669,80
670,82
671,79
672,76
673,74
674,74
675,67
676,67
677,68
678,71
679,71
680,71
681,69
682,71
683,66
684,69
685,70
686,68
687,69
688,59
689,55
690,58
691,56
692,58
693,70
694,66
695,64
696,64
697,65
698,60
699,62
700,61
701,55
702,59
703,55
704,49
705,46
706,46
707,43
708,44
709,43
710,45
711,43
712,41
713,38
714,42
715,40
716,36
717,35
718,34
719,33
720,31
721,30
722,27
723,25
724,23
725,25
726,17
727,17
728,17
729,17
730,16
731,17
732,17
733,15
734,14
735,14
736,13
737,12
738,11
739,11
740,10
741,9
742,8
743,6
744,5
745,5
746,5
747,6
748,5
749,5
750,5
751,6
752,5
753,4
754,4
755,4
756,4
757,4
758,4
759,3
760,4
761,3
762,3
763,4
764,5
765,5
766,6
767,6
768,6
769,4
770,6
771,6
772,9
773,8
774,8
775,7
776,8
777,9
778,9
779,9
780,10
781,9
782,10
783,8
784,8
785,6
786,5
787,4
788,7
789,7
790,7
791,6
792,5
793,5
794,5
795,5
796,5
797,5
798,5
799,5
800,7
801,7
802,8
803,6
804,7
805,6
806,7
807,5
808,5
809,4
810,6
811,5
