x,y
0,2
1,2
2,1
3,1
4,1
5,1
6,5
7,5
8,8
9,11
10,20
11,20
12,36
13,45
14,57
15,75
16,103
17,113
18,129
19,145
20,148
21,149
22,161
23,202
24,211
25,213
26,241
27,259
28,264
29,294
30,287
31,313
32,307
33,294
34,277
35,319
36,350
37,391
38,422
39,436
40,474
41,501
42,464
43,499
44,526
45,572
46,579
47,631
48,657
49,644
50,672
51,613
52,595
53,590
54,582
55,585
56,561
57,607
58,601
59,579
60,568
61,572
62,557
63,533
64,546
65,545
66,528
67,543
68,605
69,618
70,645
71,636
72,623
73,641
74,619
75,630
76,643
77,665
78,683
79,654
80,600
81,620
82,629
83,696
84,683
85,706
86,725
87,720
88,710
89,755
90,768
91,760
92,783
93,785
94,803
95,748
96,747
97,807
98,794
99,806
100,833
101,782
102,771
103,779
104,781
105,724
106,660
107,620
108,607
109,645
110,639
111,616
112,616
113,616
114,615
115,616
116,611
117,602
118,588
119,581
120,554
121,503
122,513
123,466
124,459
125,433
126,413
127,379
128,366
129,332
130,307
131,342
132,317
133,287
134,267
135,254
136,249
137,237
138,286
139,290
140,325
141,315
142,315
143,307
144,279
145,258
146,224
147,217
148,211
149,217
150,197
151,189
152,197
153,221
154,235
155,248
156,247
157,217
158,209
159,214
160,229
161,210
162,179
163,156
164,166
165,170
166,146
167,152
168,138
169,115
170,113
171,129
172,114
173,88
174,75
175,69
176,62
177,57
178,58
179,68
180,63
181,68
182,92
183,82
184,88
185,76
186,76
187,65
188,57
189,48
190,65
191,52
192,48
193,35
194,32
195,32
196,35
197,33
198,26
199,22
200,25
201,27
202,27
203,21
204,22
205,20
206,16
207,16
208,11
209,10
210,9
211,7
212,7
213,7
214,6
215,4
216,2
217,2
218,1
219,1
220,1
221,1
222,7
223,10
224,8
225,7
226,6
227,6
228,4
229,3
230,2
231,1
232,1
233,1
234,0
