ticks,infected
0,2
1,2
2,3
3,5
4,5
5,6
6,6
7,4
8,2
9,2
10,3
11,4
12,4
13,3
14,3
15,7
16,14
17,21
18,59
19,66
20,87
21,138
22,181
23,189
24,229
25,282
26,284
27,293
28,323
29,346
30,437
31,506
32,551
33,562
34,639
35,643
36,660
37,706
38,716
39,750
40,799
41,814
42,901
43,922
44,963
45,966
46,952
47,974
48,990
49,979
50,1067
51,1103
52,1113
53,1107
54,1088
55,1066
56,997
57,1004
58,1023
59,1098
60,1050
61,1093
62,1152
63,1122
64,1028
65,1101
66,1120
67,1093
68,1118
69,1121
70,1098
71,1137
72,1116
73,1121
74,1111
75,1075
76,1094
77,1094
78,1091
79,1074
80,1063
81,1016
82,1120
83,1196
84,1197
85,1151
86,1130
87,1071
88,1066
89,1052
90,979
91,981
92,862
93,825
94,739
95,714
96,681
97,656
98,619
99,574
100,566
101,487
102,424
103,447
104,410
105,338
106,308
107,280
108,307
109,277
110,279
111,314
112,241
113,196
114,193
115,240
116,236
117,227
118,225
119,259
120,251
121,222
122,207
123,199
124,181
125,148
126,119
127,138
128,173
129,166
130,150
131,153
132,135
133,129
134,170
135,174
136,160
137,123
138,95
139,133
140,114
141,116
142,104
143,89
144,75
145,65
146,59
147,54
148,36
149,71
150,59
151,44
152,32
153,32
154,25
155,27
156,25
157,21
158,15
159,15
160,17
161,53
162,38
163,30
164,20
165,18
166,13
167,10
168,10
169,10
170,16
171,19
172,15
173,12
174,11
175,12
176,52
177,46
178,34
179,32
180,24
181,18
182,14
183,12
184,19
185,16
186,9
187,7
188,7
189,4
190,4
191,1
192,0
