ticks,infected
0,500
1,592
2,719
3,810
4,916
5,1044
6,1168
7,1262
8,1322
9,1406
10,1460
11,1540
12,1564
13,1603
14,1609
15,1623
16,1643
17,1636
18,1575
19,1563
20,1563
21,1513
22,1527
23,1520
24,1487
25,1442
26,1417
27,1358
28,1282
29,1234
30,1173
31,1120
32,1055
33,999
34,948
35,911
36,866
37,822
38,761
39,720
40,669
41,625
42,593
43,564
44,536
45,485
46,466
47,447
48,426
49,402
50,368
51,356
52,321
53,290
54,256
55,239
56,229
57,218
58,191
59,174
60,175
61,158
62,145
63,133
64,116
65,100
66,91
67,83
68,73
69,69
70,60
71,49
72,47
73,45
74,43
75,41
76,39
77,35
78,29
79,25
80,26
81,22
82,22
83,22
84,23
85,17
86,16
87,13
88,8
89,7
90,6
91,4
92,4
93,4
94,3
95,3
96,3
97,3
98,2
99,2
100,2
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
