ticks,infected
0,2
1,3
2,4
3,6
4,7
5,11
6,12
7,12
8,11
9,17
10,19
11,18
12,19
13,19
14,22
15,23
16,26
17,25
18,30
19,29
20,29
21,29
22,30
23,35
24,34
25,30
26,30
27,32
28,42
29,49
30,53
31,55
32,57
33,65
34,64
35,70
36,76
37,76
38,79
39,83
40,87
41,85
42,85
43,88
44,95
45,107
46,113
47,110
48,118
49,123
50,127
51,142
52,152
53,153
54,166
55,171
56,182
57,171
58,167
59,171
60,175
61,175
62,181
63,177
64,175
65,161
66,157
67,161
68,161
69,179
70,185
71,188
72,194
73,195
74,201
75,203
76,198
77,201
78,197
79,201
80,207
81,198
82,189
83,196
84,200
85,198
86,192
87,190
88,193
89,191
90,204
91,217
92,214
93,204
94,210
95,216
96,209
97,205
98,214
99,216
100,218
101,211
102,220
103,236
104,248
105,263
106,266
107,269
108,274
109,279
110,269
111,282
112,293
113,288
114,295
115,302
116,299
117,307
118,301
119,307
120,314
121,309
122,308
123,305
124,319
125,319
126,309
127,311
128,292
129,292
130,289
131,298
132,297
133,290
134,284
135,281
136,287
137,284
138,286
139,281
140,266
141,251
142,261
143,253
144,270
145,266
146,257
147,256
148,244
149,250
150,240
151,252
152,264
153,268
154,279
155,264
156,262
157,254
158,242
159,245
160,242
161,234
162,233
163,240
164,239
165,241
166,254
167,257
168,264
169,269
170,257
171,257
172,256
173,269
174,290
175,288
176,295
177,290
178,276
179,290
180,290
181,293
182,307
183,287
184,284
185,284
186,283
187,285
188,297
189,287
190,285
191,298
192,297
193,302
194,311
195,326
196,332
197,337
198,331
199,329
200,339
201,329
202,324
203,332
204,314
205,309
206,293
207,278
208,284
209,286
210,289
211,313
212,299
213,285
214,288
215,286
216,280
217,284
218,273
219,268
220,266
221,266
222,277
223,285
224,274
225,278
226,267
227,261
228,244
229,248
230,242
231,243
232,243
233,251
234,256
235,258
236,272
237,277
238,280
239,287
240,287
241,280
242,282
243,279
244,275
245,282
246,273
247,265
248,268
249,263
250,260
251,239
252,230
253,230
254,225
255,219
256,205
257,204
258,211
259,197
260,204
261,192
262,182
263,164
264,154
265,153
266,159
267,154
268,149
269,141
270,130
271,129
272,128
273,130
274,137
275,133
276,141
277,132
278,138
279,139
280,136
281,125
282,117
283,121
284,117
285,112
286,116
287,117
288,112
289,121
290,128
291,132
292,138
293,138
294,142
295,133
296,141
297,151
298,167
299,158
300,151
301,155
302,151
303,147
304,143
305,139
306,140
307,142
308,139
309,141
310,131
311,126
312,127
313,124
314,124
315,121
316,118
317,117
318,113
319,113
320,115
321,114
322,124
323,126
324,130
325,138
326,140
327,139
328,151
329,145
330,151
331,152
332,143
333,147
334,148
335,150
336,156
337,162
338,164
339,155
340,161
341,150
342,163
343,157
344,140
345,139
346,146
347,142
348,144
349,133
350,128
351,130
352,128
353,131
354,137
355,152
356,158
357,159
358,152
359,158
360,147
361,141
362,146
363,144
364,152
365,153
366,153
367,148
368,137
369,131
370,134
371,134
372,130
373,127
374,129
375,116
376,118
377,117
378,118
379,113
380,118
381,118
382,127
383,124
384,116
385,121
386,115
387,116
388,105
389,105
390,111
391,113
392,108
393,116
394,119
395,127
396,126
397,121
398,126
399,123
400,123
401,130
402,142
403,142
404,140
405,140
406,144
407,140
408,131
409,119
410,120
411,121
412,116
413,112
414,110
415,107
416,105
417,103
418,105
419,106
420,106
421,109
422,105
423,103
424,99
425,92
426,85
427,86
428,90
429,92
430,97
431,90
432,76
433,79
434,85
435,84
436,83
437,84
438,86
439,94
440,93
441,90
442,84
443,83
444,81
445,77
446,76
447,73
448,79
449,84
450,85
451,92
452,94
453,99
454,94
455,95
456,90
457,87
458,89
459,85
460,85
461,87
462,90
463,80
464,78
465,74
466,73
467,71
468,75
469,73
470,70
471,70
472,70
473,70
474,66
475,71
476,70
477,74
478,80
479,80
480,85
481,80
482,86
483,86
484,84
485,90
486,92
487,96
488,98
489,96
490,105
491,105
492,101
493,99
494,96
495,97
496,89
497,90
498,83
499,83
500,85
501,86
502,82
503,87
504,90
505,87
506,78
507,80
508,81
509,86
510,84
511,80
512,77
513,77
514,81
515,85
516,75
517,81
518,80
519,73
520,73
521,76
522,73
523,73
524,65
525,64
526,65
527,59
528,59
529,62
530,64
531,61
532,64
533,64
534,64
535,57
536,59
537,54
538,52
539,59
540,61
541,65
542,66
543,65
544,61
545,57
546,53
547,58
548,54
549,50
550,51
551,56
552,56
553,52
554,54
555,53
556,50
557,53
558,53
559,59
560,61
561,49
562,45
563,45
564,41
565,40
566,43
567,44
568,43
569,41
570,38
571,32
572,28
573,30
574,33
575,33
576,30
577,29
578,28
579,29
580,25
581,22
582,19
583,20
584,16
585,15
586,19
587,22
588,18
589,19
590,18
591,18
592,17
593,13
594,11
595,9
596,9
597,8
598,11
599,10
600,8
601,8
602,9
603,10
604,11
605,10
606,8
607,8
608,7
609,5
610,4
611,4
612,4
613,4
614,4
615,3
616,3
617,3
618,3
619,3
620,3
621,2
622,2
623,2
624,2
625,2
626,1
627,1
628,1
629,1
630,1
631,0
632,0
